Ex_date,Ticker,Company,Payment_per_year,Dividend,Yield,Announced,Record,Payable
5/24/2023,GFF,Griffon,4,0.125,0.017599437,5/3/2023,5/25/2023,6/15/2023
5/24/2023,CDW,CDW,4,0.59,0.014059335,5/3/2023,5/25/2023,6/13/2023
5/24/2023,LFUS,Littelfuse,4,0.6,0.00984575,5/2/2023,5/25/2023,6/8/2023
5/24/2023,FWRD,Forward Air,4,0.24,0.009195402,4/28/2023,5/25/2023,6/13/2023
5/24/2023,AMAT,Applied Mat,4,0.32,0.011189789,3/13/2023,5/25/2023,6/15/2023
5/24/2023,DFS,Discover Finl,4,0.7,0.027019203,4/19/2023,5/25/2023,6/8/2023
5/23/2023,SLRC,SLR Inv,12,0.1367,0.117255182,5/10/2023,5/24/2023,6/1/2023
5/23/2023,TTEK,Tetra Tech,4,0.26,0.007223225,5/10/2023,5/24/2023,6/6/2023
5/23/2023,CAKE,Cheesecake Factory,4,0.27,0.032471437,5/10/2023,5/24/2023,6/6/2023
5/23/2023,TER,Teradyne,4,0.11,0.004837291,5/11/2023,5/24/2023,6/16/2023
5/23/2023,MFC,Manulife Financial,4,0.365,0.05478424,5/10/2023,5/24/2023,6/19/2023
5/23/2023,GSL,Global Ship Lease,4,0.375,0.082964602,5/10/2023,5/24/2023,6/2/2023
5/23/2023,EGY,VAALCO Energy,4,0.0625,0.058823529,5/9/2023,5/24/2023,6/23/2023
5/23/2023,EE,Excelerate Energy,4,0.025,0.004612546,5/9/2023,5/24/2023,6/8/2023
5/23/2023,BRMK,Broadmark Realty Capital,12,0.035,0.086065574,5/9/2023,5/24/2023,5/30/2023
5/23/2023,L,Loews,4,0.0625,0.004250978,5/9/2023,5/24/2023,6/6/2023
5/23/2023,VTRS,Viatris,4,0.12,0.053215078,5/5/2023,5/24/2023,6/16/2023
5/23/2023,EQIX,Equinix,4,3.41,0.01939787,5/3/2023,5/24/2023,6/21/2023
5/23/2023,BKOR,Oak Ridge Finl Servs,4,0.1,0.022857143,5/2/2023,5/24/2023,6/9/2023
5/23/2023,IR,Ingersoll Rand,4,0.02,0.00140056,5/2/2023,5/24/2023,6/22/2023
5/23/2023,AMCR,Amcor,4,0.1225,0.044303797,5/2/2023,5/24/2023,6/20/2023
5/23/2023,FBP,First BanCorp,4,0.14,0.048317515,4/27/2023,5/24/2023,6/9/2023
5/23/2023,HIE,Miller/Howard High Income,12,0.051,0.060895522,4/3/2023,5/24/2023,5/31/2023
